id,Headline,Category,Date,realorfake
9298,Tesla's Musk hands over first Model 3 electric cars to early buyers,Politics,7/29/2017 0:00,real
9299,Wells Fargo cuts 69 executive jobs: spokesman,Politics,7/29/2017 0:00,real
9300,Hamburg attacker was known to security forces,Politics,7/29/2017 0:00,real
9301,Southeast Asian states vow cooperation on 'growing' militant threat,Politics,7/29/2017 0:00,real
9302,U.S. government ordered to solve 'Case of the Incredible Shrinking Airline Seat',Politics,7/28/2017 0:00,real
9303,Exclusive: Majority of Americans support transgender military service - poll,Politics,7/28/2017 0:00,real
9304,China concerned by South Korea's decision to deploy more U.S. anti-missile units,Politics,7/29/2017 0:00,real
9305,"Trump to sign Russia sanctions, Moscow retaliates",Politics,7/28/2017 0:00,real
9306,South Korea to deploy more THAAD units after North Korea ICBM launch,Politics,7/29/2017 0:00,real
9307,China urges North Korea to stop acts that could worsen tensions,Politics,7/29/2017 0:00,real
9308,"Russia holds rates amid geopolitical risks, sees cuts by year-end",Politics,7/28/2017 0:00,real
9309,"Russia ready to cooperate with U.S., Russia's Lavrov told Tillerson: ministry",Politics,7/28/2017 0:00,real
9310,"For Trump, the honeymoon with Putin may be finally over",Politics,7/28/2017 0:00,real
9311,Trump to sign Russia sanctions bill: White House,Politics,7/29/2017 0:00,real
9312,Republicans try to pick up the pieces after healthcare defeat,Politics,7/27/2017 0:00,real
9313,Venezuelan opposition in final protest push ahead of Sunday vote,Politics,7/28/2017 0:00,real
9314,"Venezuelan protesting violinist arrested, beaten: rights group",Politics,7/29/2017 0:00,real
9315,Colombia will not recognize result of Venezuela assembly vote,Politics,7/28/2017 0:00,real
9316,Factbox: Priebus the latest official to leave Trump administration,Politics,7/29/2017 0:00,real
9317,South Korea says it will prepare independent measures against North Korea nuclear threat: minister,Politics,7/29/2017 0:00,real
9318,"North Korea confirms second ICBM test-launch, says 'stern warning' for U.S. - KCNA",Politics,7/29/2017 0:00,real
9319,"Trump asks Congress to help in fight against gangs, illegal immigration",Politics,7/28/2017 0:00,real
9320,"U.S. proposes cigarette nicotine cut, shift toward e-cigarettes",Politics,7/28/2017 0:00,real
9321,"U.S., South Korea conduct missile exercise after North Korea ICBM launch",Politics,7/28/2017 0:00,real
9322,Hundreds of counties at risk for no Obamacare insurer in 2018,Politics,7/28/2017 0:00,real
9323,Clooney vows to sue French magazine over twins' photos,Politics,7/28/2017 0:00,real
9324,"South Korea, U.S. stage missile exercise in response to North Korea's launch: Yonhap",Politics,7/28/2017 0:00,real
9325,U.N. chief condemns North Korea launch of possible long-range missile,Politics,7/28/2017 0:00,real
9326,Amazon everywhere: E-commerce titan is topic companies can't avoid,Politics,7/28/2017 0:00,real
9327,U.S. government delays Obama earnings-stripping rule deadline,Politics,7/28/2017 0:00,real
9328,Trump replaces chief of staff Reince Priebus after six-month run,Politics,7/28/2017 0:00,real
9329,U.S. lawmakers expect more sanctions on Venezuela over vote,Politics,7/28/2017 0:00,real
9330,Honolulu targets 'smartphone zombies' with crosswalk ban,Politics,7/28/2017 0:00,real
9331,Senator Warren calls on Fed to remove Wells Fargo board members,Politics,7/28/2017 0:00,real
9332,Massachusetts governor signs bill hiking tax on recreational pot,Politics,7/28/2017 0:00,real
9333,Exclusive: Congress asks U.S. agencies for Kaspersky Lab cyber documents,Politics,7/28/2017 0:00,real
9334,"U.S. economy speeds up in second quarter, wages continue to lag",Politics,7/28/2017 0:00,real
9335,U.S.-South Korean military chiefs discuss military options: U.S. military,Politics,7/28/2017 0:00,real
9336,Trump says Senate should have passed healthcare bill,Politics,7/28/2017 0:00,real
9337,"McCain, once belittled by Trump, hands him big defeat in healthcare vote",Politics,7/28/2017 0:00,real
9338,Senator McCain returning to Arizona for cancer treatment: statement,Politics,7/28/2017 0:00,real
9339,Tesla climbs as Musk prepares to hand over first Model 3 cars,Politics,7/28/2017 0:00,real
9340,South Korea's Moon orders talks with U.S. to deploy more THAAD units after North Korea ICBM test,Politics,7/28/2017 0:00,real
9341,Missile North Korea launched was an ICBM: Pentagon,Politics,7/28/2017 0:00,real
9342,"North Korea fires missile into sea off east coast, possibly an ICBM",Politics,7/28/2017 0:00,real
9343,British American Tobacco not surprised by FDA move to cut nicotine,Politics,7/28/2017 0:00,real
9344,Russia orders out U.S. diplomats in sanctions retaliation,Politics,7/28/2017 0:00,real
9345,Japan PM Abe: There is no avoiding increasing pressure on North Korea,Politics,7/28/2017 0:00,real
9346,Pakistan faces political turmoil as PM Sharif ousted in wealth probe,Politics,7/28/2017 0:00,real
9347,"Altitude of N. Korean missile flight could have been over 3,000 km: NHK quoting Japan defense official",Politics,7/28/2017 0:00,real
9348,"McCain says time for Republicans, Democrats to 'start fresh' on healthcare",Politics,7/28/2017 0:00,real
9349,Prayers at Jerusalem's Al-Aqsa mosque end without serious violence,Politics,7/28/2017 0:00,real
9350,"Factbox: Trump on Twitter (July 28) - Obamacare, Republicans, healthcare",Politics,7/28/2017 0:00,real
9351,Japan chief cabinet secretary: North Korea missile appears to have fallen in Japan EEZ waters,Politics,7/28/2017 0:00,real
9352,Top Democrat says he hopes U.S. Senate at turning point on healthcare repeal,Politics,7/28/2017 0:00,real
9353,North Korea fires missile into sea off its east coast: Yonhap,Politics,7/28/2017 0:00,real
9354,Pentagon detects North Korean ballistic missile launch,Politics,7/28/2017 0:00,real
9355,Wall Street braces for end of Snap share lockup,Politics,7/28/2017 0:00,real
9356,"Google, Microsoft among companies urging court to back gay workers",Politics,6/26/2017 0:00,real
9357,"U.S. orders Venezuela embassy families out, crisis deepens",Politics,7/27/2017 0:00,real
9358,U.S. Justice Department says anti-bias law does not protect gay workers,Politics,7/27/2017 0:00,real
9359,2015 economic growth strongest since 2005,Politics,7/28/2017 0:00,real
9360,Events leading up to Pakistan PM Sharif's ouster,Politics,7/28/2017 0:00,real
9361,North Korea hacking increasingly focused on making money more than espionage: South Korea study,Politics,7/28/2017 0:00,real
9362,U.S. labor cost growth slows in second quarter,Politics,7/28/2017 0:00,real
9363,Top Trump lieutenant Scaramucci lashes colleagues in obscene rant,Politics,7/27/2017 0:00,real
9364,Factbox: Ousted Pakistan PM Sharif's political career,Politics,7/28/2017 0:00,real
9365,U.N. appeals for calm in Venezuela ahead of controversial vote,Politics,7/28/2017 0:00,real
9366,Pakistan PM Nawaz Sharif resigns after Supreme Court order to disqualify him: statement,Politics,7/28/2017 0:00,real
9367,Pakistan's Supreme Court disqualifies Finance Minister Ishaq Dar: media,Politics,7/28/2017 0:00,real
9368,"Senate slaps new sanctions on Russia, putting Trump in corner",Politics,7/27/2017 0:00,real
9369,Amazon plows ahead with high sales and spending; profit plunges,Politics,7/27/2017 0:00,real
9370,Factbox: What's in the Senate's 'skinny repeal' healthcare bill,Politics,7/28/2017 0:00,real
9371,Senate passes measure that permanently repeals 'Cadillac' tax,Politics,7/28/2017 0:00,real
9372,U.S. Senate Republicans unveil 'skinny' Obamacare repeal bill,Politics,7/28/2017 0:00,real
9373,Ryan assures U.S. Senate Republicans on skinny Obamacare repeal,Politics,7/28/2017 0:00,real
9374,Hitler exhibition in Berlin bunker asks: How could it happen?,Politics,7/27/2017 0:00,real
9375,"Factbox: Scaramucci's financial potpourri - baseball, movies, diet shakes",Politics,7/28/2017 0:00,real
9376,U.S. orders family members of Caracas embassy staff to leave Venezuela,Politics,7/27/2017 0:00,real
9377,White House divisions on display with Scaramucci's comments,Politics,7/27/2017 0:00,real
9378,Flush times for hackers in booming cyber security job market,Politics,7/28/2017 0:00,real
9379,Three Republicans threaten to vote no on healthcare,Politics,7/27/2017 0:00,real
9380,House leader says willing to do conference committee on healthcare,Politics,7/27/2017 0:00,real
9381,Trump ban on transgender service members alarms some military officers,Politics,7/27/2017 0:00,real
9382,"Shkreli portrayed both as liar, well-meaning as trial nears end",Politics,7/27/2017 0:00,real
9383,U.S. lawmaker requests investigation into threat to Alaska senators over healthcare vote,Politics,7/27/2017 0:00,real
9384,Senators concerned Icahn is influencing regulators on AIG,Politics,7/27/2017 0:00,real
9385,EU must retaliate if hurt by U.S. sanctions on Russia: German business group,Politics,7/27/2017 0:00,real
9386,European businesses working in Russia slam proposed U.S. sanctions,Politics,7/27/2017 0:00,real
9387,Putin: We'll have to retaliate against 'illegal' U.S. sanctions,Politics,7/27/2017 0:00,real
9388,Trump urged Washington to stop bank mergers in 2004 letter,Politics,7/27/2017 0:00,real
9389,"House of Representatives boosts military spending, gives Trump border wall money",Politics,7/27/2017 0:00,real
9390,U.S. says Iran rocket test breaches U.N. resolution,Politics,7/27/2017 0:00,real
9391,Qatar seeks options at United Nations to overcome Gulf rift,Politics,7/27/2017 0:00,real
9392,"Thousands of worshippers surge into Jerusalem's Al-Aqsa mosque, 113 injured",Politics,7/27/2017 0:00,real
9393,Attorney General Sessions to unveil leak probes soon: reports,Politics,7/26/2017 0:00,real
9394,Trump criticism prompts questions over Attorney General's future,Politics,7/26/2017 0:00,real
9395,Exclusive: Not Made in America - Wal-Mart looks overseas for online vendors,Politics,7/27/2017 0:00,real
9396,Army chief had no advance knowledge of Trump's transgender ban,Politics,7/27/2017 0:00,real
9397,Boy Scouts of America apologizes for Trump's 'political rhetoric',Politics,7/27/2017 0:00,real
9398,U.S. general: North Korea ICBM threat advancing faster than expected,Politics,7/27/2017 0:00,real
9399,Exclusive: Nordstrom family offers preferential terms to clinch buyout partner - sources,Politics,7/27/2017 0:00,real
9400,"Charlie Gard to be moved to a hospice to die, British judge rules",Politics,7/27/2017 0:00,real
9401,#CharlieGard: social media turns family tragedy into global war of words,Politics,7/27/2017 0:00,real
9402,Saudi Arabia says king's contact with U.S. helped ease Al-Aqsa mosque tensions,Politics,7/27/2017 0:00,real
9403,"Jordan says Israel's backtracking on Jerusalem ""calms"" situation",Politics,7/27/2017 0:00,real
9404,"As downloaded music fades away, Apple discontinues older iPods",Politics,7/27/2017 0:00,real
9405,"U.S. durable goods, trade data boost second-quarter growth estimate",Politics,7/27/2017 0:00,real
9406,Exclusive: Russia used Facebook to try to spy on Macron campaign - sources,Politics,7/27/2017 0:00,real
9407,Atlanta Fed raises U.S. second-quarter GDP growth estimate to 2.8 percent,Politics,7/27/2017 0:00,real
9408,California deputy attorney general charged with child porn,Politics,7/27/2017 0:00,real
9409,"Factbox: Trump on Twitter (July 27) - NY Times, Republican Senators, Healthcare",Politics,7/27/2017 0:00,real
9410,"Singapore slings? Taking on Alibaba, Amazon launches Prime Now in the city state",Politics,7/27/2017 0:00,real
9411,Facebook shares hit record high as mobile ad sales soar,Politics,7/26/2017 0:00,real
9412,U.S. lawmakers reach deal for Senate Russia sanctions vote,Politics,7/26/2017 0:00,real
9413,U.S. indicts suspected Russian 'mastermind' of $4 billion bitcoin laundering scheme,Politics,7/26/2017 0:00,real
9414,Russia risks decades of low growth under U.S. sanctions: Putin adviser,Politics,7/27/2017 0:00,real
9415,"Putin signs Syria base deal, cementing Russia's presence there for half a century",Politics,7/27/2017 0:00,real
9416,Three hundred UK charities hit by global crackdown on illegal funds,Politics,7/27/2017 0:00,real
9417,"Trump to ban transgender U.S. military personnel, reversing Obama",Politics,7/26/2017 0:00,real
9418,"U.S. sanctions Venezuelan officials, one killed in anti-Maduro strike",Politics,7/26/2017 0:00,real
9419,Russian indicted in U.S. on charges of running bitcoin laundering ring,Politics,7/27/2017 0:00,real
9420,Senate aims for a 'skinny' Obamacare repeal as other options fail,Politics,7/26/2017 0:00,real
9421,U.S. lawmakers reach deal for Senate vote on Russia sanctions,Politics,7/27/2017 0:00,real
9422,Washington refocuses on tax; anti-tax activist sees bill in September,Politics,7/26/2017 0:00,real
9423,Elliott wins more time to beat Berkshire Hathaway's Oncor deal,Politics,7/26/2017 0:00,real
9424,Exclusive: Discovery in the lead to acquire Scripps Networks - sources,Politics,7/26/2017 0:00,real
9425,"Some Chinese electric car makers mull alliance to save money, time",Politics,7/26/2017 0:00,real
9426,Secretary of State Tillerson says he is 'not going anywhere',Politics,7/26/2017 0:00,real
9427,Bundy follower gets 68 years for role in armed Nevada standoff,Politics,7/26/2017 0:00,real
9428,Prosecutors plan video depositions in Texas truck death case,Politics,7/26/2017 0:00,real
9429,U.N.'s Guterres concerned about risk of escalating violence in Jerusalem,Politics,7/26/2017 0:00,real
9430,Any U.S. military transgender ban could face major legal challenge,Politics,7/26/2017 0:00,real
9431,"Transgender soldiers, veterans shaken by Trump's ban on their service",Politics,7/26/2017 0:00,real
9432,"Fed holds rates steady, expects portfolio cuts 'relatively soon'",Politics,7/26/2017 0:00,real
9433,Wall Street zeroes in on September for start of Fed balance sheet wind-down: Reuters poll,Politics,7/26/2017 0:00,real
9434,Israeli lawmakers vote to set high bar for ceding parts of Jerusalem,Politics,7/26/2017 0:00,real
9435,"Head of Senate panel says near deal on Russia, Iran sanctions vote",Politics,7/26/2017 0:00,real
9436,"EU court keeps Hamas on terrorism list, removes Tamil Tigers",Politics,7/26/2017 0:00,real
9437,Uber's Kalanick hires former U.S. prosecutor ahead of Waymo deposition,Politics,7/26/2017 0:00,real
9438,Exclusive: Viacom willing to make an all-cash deal to buy Scripps Networks - sources,Politics,7/26/2017 0:00,real
9439,Ford results foreshadow tougher times for Detroit automakers,Politics,7/26/2017 0:00,real
9440,U.S. defense companies lift forecasts amid growing security concerns,Politics,7/26/2017 0:00,real
9441,Details of military transgender policy being worked out: White House,Politics,7/26/2017 0:00,real
9442,Instant View: Fed holds rates steady; sees balance sheet normalization starting 'relatively soon',Politics,7/26/2017 0:00,real
9443,U.S. to impose stricter electronic carry-on airport screening,Politics,7/26/2017 0:00,real
9444,Trump warns 'emboldened' Iran to comply with nuclear deal,Politics,7/26/2017 0:00,real
9445,Traders pare bets on December Fed rate hike,Politics,7/26/2017 0:00,real
9446,"Baby Charlie Gard to die in hospice, parents seek more time with him",Politics,7/26/2017 0:00,real
9447,"Senate advances on healthcare, with dramatic return by McCain",Politics,7/25/2017 0:00,real
9448,Exclusive: U.S. sanctions Venezuelan officials to pressure Maduro - sources,Politics,7/26/2017 0:00,real
9449,All options on table for dealing with Venezuela: U.S. official,Politics,7/26/2017 0:00,real
9450,Exclusive: U.N. report accuses Saudi coalition of deadly migrant boat attack off Yemen,Politics,7/26/2017 0:00,real
9451,U.S. sanctions to target Venezuelan constituent assembly -statement,Politics,7/26/2017 0:00,real
9452,"Exclusive: Venezuela police and army chiefs, PDVSA executive face U.S. sanctions - sources",Politics,7/26/2017 0:00,real
9453,Rouhani says Iran will respond to any new U.S. sanctions,Politics,7/26/2017 0:00,real
9454,"Iran's two top opposition leaders in poor health, one in hospital",Politics,7/26/2017 0:00,real
9455,Senate Armed Services chair McCain: Trump transgender decision inappropriate,Politics,7/26/2017 0:00,real
9456,"In Ohio, a struggle for the soul of the Democratic Party is playing out",Politics,7/26/2017 0:00,real
9457,Vatican treasurer makes brief Australian court appearance over historical sex charges,Politics,7/25/2017 0:00,real
9458,"Carter blasts Trump's ban on transgender, says 'social policy'",Politics,7/26/2017 0:00,real
9459,EU warns U.S. it may respond swiftly to counter new sanctions on Russia,Politics,7/26/2017 0:00,real
9460,"France says U.S. sanctions on Iran, Russia look illegal",Politics,7/26/2017 0:00,real
9461,Factbox: How proposed new U.S. sanctions would affect Russia,Politics,7/26/2017 0:00,real
9462,Moscow warns new U.S. sanctions take ties into uncharted waters,Politics,7/26/2017 0:00,real
9463,Pentagon says revising rules after Trump's transgender ban,Politics,7/26/2017 0:00,real
9464,Trump transgender decision 'shocking and ignorant': advocate,Politics,7/26/2017 0:00,real
9465,"Factbox: Trump on Twitter (July 26) - U.S. Military, Transgender individuals",Politics,7/26/2017 0:00,real
9466,U.S. Senator Corker sees Russia sanctions bill becoming law soon,Politics,7/26/2017 0:00,real
9467,Aleppo's limping recovery shows limits of battered Syrian state,Politics,7/26/2017 0:00,real
9468,Chinese jets intercept U.S. surveillance plane: U.S. officials,Politics,7/24/2017 0:00,real
9469,"Crews gain ground against Montana wildfire, largest in U.S.",Politics,7/25/2017 0:00,real
9470,Republican lawmakers rally around Sessions as Trump intensifies pressure,Politics,7/25/2017 0:00,real
9471,"White House targets leakers, may restructure communications: Scaramucci",Politics,7/26/2017 0:00,real
9472,German industry says vulnerable to Russia sanctions fall-out,Politics,7/26/2017 0:00,real
9473,"Russian economy minister : U.S. sanctions to hurt Trump, EU more than Russia: Ifx",Politics,7/26/2017 0:00,real
9474,Swiss chainsaw attacker arrested after international manhunt,Politics,7/25/2017 0:00,real
9475,U.S. energy secretary duped into fake interview with Russian comedians,Politics,7/26/2017 0:00,real
9476,Fairy tales overcome nightmares at South Korea’s militarized border town,Politics,7/26/2017 0:00,real
9477,Russia says its Baltic Sea war games with Chinese Navy not a threat,Politics,7/26/2017 0:00,real
9478,EU's Juncker says ready to act over new U.S. sanctions on Russia,Politics,7/26/2017 0:00,real
9479,German official warns U.S. not to use sanctions for industrial policy,Politics,7/26/2017 0:00,real
9480,"House approves new Russia sanctions, defying Trump",Politics,7/25/2017 0:00,real
9481,North Korea could carry out missile test soon: U.S. officials,Politics,7/25/2017 0:00,real
9482,"U.S. says progress with China on North Korea U.N. sanctions, true test is Russia",Politics,7/25/2017 0:00,real
9483,Russia warns it is close to retaliating after new U.S. sanctions bill: Ifax,Politics,7/26/2017 0:00,real
9484,Russian lawmaker says U.S. sanctions hits joint fight against terror: RIA,Politics,7/26/2017 0:00,real
9485,Russia's response to new U.S. sanctions must be 'painful': lawmaker,Politics,7/26/2017 0:00,real
9486,"In hero's return, McCain blasts Congress, tells senators to stand up to Trump",Politics,7/25/2017 0:00,real
9487,"Israel removes Jerusalem metal detectors, Palestinians reject new measures",Politics,7/24/2017 0:00,real
9488,Texas Senate votes to curb transgender access to public bathrooms,Politics,7/26/2017 0:00,real
9489,'Simpsons' creator heads to Netflix with adult comedy,Politics,7/26/2017 0:00,real
9490,"Robert Durst unfaithful to wife before her disappearance, friend says",Politics,7/26/2017 0:00,real
9491,Trump says would be surprised if Iran compliant with nuclear deal: WSJ,Politics,7/26/2017 0:00,real
9492,Trump pledges U.S. aid to help Lebanon against Islamic State,Politics,7/25/2017 0:00,real
9493,Senate judiciary panel says Manafort has started providing documents,Politics,7/26/2017 0:00,real
9494,White House says it is reviewing House bill on Russia sanctions,Politics,7/25/2017 0:00,real
9495,'Pharma bro' Shkreli stirs mixed feelings in his ancestral Albanian village,Politics,7/25/2017 0:00,real
9496,Impact of firing Sessions could be troublesome for Trump,Politics,7/25/2017 0:00,real
9497,'Pharma bro' Martin Shkreli's securities fraud trial winds down,Politics,7/25/2017 0:00,real
9498,Senate panel rescinds subpoena for Trump's ex-campaign head: sources,Politics,7/25/2017 0:00,real
9499,Citigroup sets new focus on growth at first investor day since crisis,Politics,7/25/2017 0:00,real
9500,Sessions sets limits on U.S. federal funding for sanctuary cities,Politics,7/25/2017 0:00,real
9501,U.S. likely to target more Chinese entities over North Korea 'fairly soon': official,Politics,7/25/2017 0:00,real
9502,House votes overwhelmingly to approve new Russia sanctions,Politics,7/25/2017 0:00,real
9503,Geek fight! Musk says Zuckerberg naive about killer robots,Politics,7/25/2017 0:00,real
9504,U.S. appeals court blocks D.C. law restricting gun rights,Politics,7/25/2017 0:00,real
9505,"Trump speech to Boy Scouts raises ire of parents, former Scouts",Politics,7/25/2017 0:00,real
9506,Schumer says Senate Democrats will not block votes on healthcare amendments,Politics,7/25/2017 0:00,real
9507,"House panel wants Google, Facebook, AT&T CEOs to testify on internet rules",Politics,7/25/2017 0:00,real
9508,Trump says he's 'very disappointed in Jeff Sessions': WSJ,Politics,7/25/2017 0:00,real
9509,Senator McConnell says hopes to finish healthcare bill by end of week,Politics,7/25/2017 0:00,real
9510,"Two members of missing Burundi robotics team found, U.S. police say",Politics,7/25/2017 0:00,real
9511,Effort to repeal/replace Obamacare clears first Senate hurdle,Politics,7/25/2017 0:00,real
9512,U.S. Navy ship fires warning shots near Iranian vessel,Politics,7/25/2017 0:00,real
9513,"Arab states add groups, people to terror lists in Qatar row",Politics,7/24/2017 0:00,real
9514,Trump administration moves closer to undoing overtime pay rule,Politics,7/25/2017 0:00,real
9515,Republicans block Democrats' bid to see Treasury files on Trump,Politics,7/25/2017 0:00,real
9516,Kushner interviewed by House intelligence panel,Politics,7/25/2017 0:00,real
9517,"Trump, without evidence, cites Ukraine ties to ex-rival Clinton",Politics,7/25/2017 0:00,real
9518,"Factbox: Trump on Twitter (July 25) - Jeff Sessions, ObamaCare, trade deal",Politics,7/25/2017 0:00,real
9519,Factbox: What might be in Senate's mystery healthcare bill,Politics,7/25/2017 0:00,real
9520,House seen passing Russia sanctions bill limiting Trump's power,Politics,7/25/2017 0:00,real
9521,Prospect of Trump tariff casts pall over U.S. solar industry,Politics,7/25/2017 0:00,real
9522,Top Senate Democrat warns Trump over replacing Sessions to derail Russia probe,Politics,7/25/2017 0:00,real
9523,Republican Senate leader to hold healthcare vote within hours,Politics,7/25/2017 0:00,real
9524,Taliban suicide car bomber kills dozens in Afghan capital,Politics,7/24/2017 0:00,real
9525,Exclusive: Australia to accept first Central American refugees under U.S. deal - sources,Politics,7/25/2017 0:00,real
9526,Ukraine denies Trump accusation it attempted to sabotage 2016 election,Politics,7/25/2017 0:00,real
9527,"EU increases pressure on Facebook, Google and Twitter over user terms",Politics,7/24/2017 0:00,real
9528,"Alphabet adds to cash pile despite higher costs, antitrust fine",Politics,7/24/2017 0:00,real
9529,Justin Bieber cancels rest of 'Purpose' tour without explanation,Politics,7/24/2017 0:00,real
9530,Trump to study tougher Russia sanctions bill: White House,Politics,7/24/2017 0:00,real
9531,Senator Corker says no deal yet on Russia sanctions bill,Politics,7/24/2017 0:00,real
9532,Kremlin: U.S. arms supplies to Ukraine would set back peace efforts,Politics,7/25/2017 0:00,real
9533,Qualcomm accuses tech group of 'misdirecting' trade regulators,Politics,7/24/2017 0:00,real
9534,Unrest bubbles among Trump's key foreign policy aides: sources,Politics,7/25/2017 0:00,real
9535,"China says its intercept of U.S. surveillance plane was legal, necessary",Politics,7/25/2017 0:00,real
9536,"U.S. judge halts deportation of more than 1,400 Iraqi nationals",Politics,7/25/2017 0:00,real
9537,"As U.S. weighs Afghan strategy, hopes set on fledgling Air Force",Politics,7/23/2017 0:00,real
9538,Trucker in Texas denies knowing immigrants were in stifling tractor trailer,Politics,7/24/2017 0:00,real
9539,Trump pleads with Republicans to roll back Obamacare,Politics,7/24/2017 0:00,real
9540,Republican Senator McCain will return Tuesday for healthcare vote,Politics,7/25/2017 0:00,real
9541,'Pharma bro' Shkreli says he will not testify in securities fraud trial,Politics,7/24/2017 0:00,real
9542,Polish president halts justice reforms after days of protests,Politics,7/24/2017 0:00,real
9543,"Jared Kushner details Russia contacts, denies collusion",Politics,7/24/2017 0:00,real
9544,Organic ranchers eye Amazon distribution ahead of Whole Foods deal,Politics,7/24/2017 0:00,real
9545,"Chinese shipbuilders tap rising cruise demand, rattle European rivals",Politics,7/24/2017 0:00,real
9546,Israeli embassy staff in Jordan returned to Israel,Politics,7/24/2017 0:00,real
9547,No. 2 Senate Republican: health bill to be discussed Tuesday before vote,Politics,7/24/2017 0:00,real
9548,U.S. judge allows Trump election commission to seek voting data,Politics,7/24/2017 0:00,real
9549,"Chainsaw attacker targets insurer in Swiss rampage, still on run",Politics,7/24/2017 0:00,real
9550,Republicans in House push for Congressional Budget Office cuts,Politics,7/24/2017 0:00,real
9551,"U.S. dollar, bond yields rise, with focus on Fed",Politics,7/24/2017 0:00,real
9552,Congressman proposes ban on Trump hotels use by U.S. government,Politics,7/24/2017 0:00,real
9553,U.N. warns of escalation if no Jerusalem mosque solution by Friday,Politics,7/24/2017 0:00,real
9554,Senate voting Tuesday on whether to open healthcare debate: McConnell,Politics,7/24/2017 0:00,real
9555,Israeli embassy staff in Jordan return to Israel: Israeli PMO,Politics,7/24/2017 0:00,real
9556,"Medicaid, pension costs create budget complications for U.S. states: report",Politics,7/24/2017 0:00,real
9557,EPA chief spent almost half of spring in home state of Oklahoma,Politics,7/24/2017 0:00,real
9558,Fintech lingo explained,Politics,6/22/2017 0:00,real
9559,U.S. venture capital's digital coin quandary: cash-rich startups,Politics,7/24/2017 0:00,real
9560,NATO offers to broker compromise in Turkish-German stand-off,Politics,7/24/2017 0:00,real
9561,EU cautious on Polish president's veto of judicial laws,Politics,7/24/2017 0:00,real
9562,Polish president says judicial reform needs to be constitutional,Politics,7/24/2017 0:00,real
9563,Polish PM says president's veto slows down needed justice reforms,Politics,7/24/2017 0:00,real
9564,Massachusetts cannot hold immigrants so U.S. can detain them: state top court,Politics,7/24/2017 0:00,real
9565,Factbox: Trump son-in-law Kushner details contacts with Russians,Politics,7/24/2017 0:00,real
9566,Israel says Jerusalem mosque metal detectors to stay,Politics,7/23/2017 0:00,real
9567,Turkey says Israel violating human rights at al-Aqsa mosque,Politics,7/24/2017 0:00,real
9568,"GE shares fall as profit slumps, investors await new CEO's targets",Politics,7/21/2017 0:00,real
9569,Trump son-in-law Kushner's congressional statement,Politics,7/24/2017 0:00,real
9570,Kushner to make statement to the press after speaking to lawmakers,Politics,7/24/2017 0:00,real
9571,Exclusive: Germany wants more EU sanctions on Russia over Siemens Crimea turbines - sources,Politics,7/24/2017 0:00,real
9572,What's the issue with metal detectors in Jerusalem?,Politics,7/24/2017 0:00,real
9573,Trump open to signing Russia sanctions legislation: official,Politics,7/23/2017 0:00,real
9574,Proposed new U.S. sanctions ruse to force Russia from EU energy market: TASS cites Putin ally,Politics,7/24/2017 0:00,real
9575,Kremlin frets U.S. sanctions may hurt European projects like Nord Stream 2,Politics,7/24/2017 0:00,real
9576,EU divided on how to answer new U.S. sanctions against Russia,Politics,7/24/2017 0:00,real
9577,EU activates 'all diplomatic channels' over new U.S. sanctions on Russia,Politics,7/24/2017 0:00,real
9578,"California crews hold wildfire in check, let more residents go home",Politics,7/23/2017 0:00,real
9579,Death toll rises to nine in suspected Texas human smuggling case,Politics,7/23/2017 0:00,real
9580,"Factbox: Trump on Twitter (July 24) - Chuck Schumer, Adam Schiff, Obamacare",Politics,7/25/2017 0:00,real
9581,Direct lending funds' fading all-weather appeal,Politics,7/24/2017 0:00,real
9582,"Kushner, in statement, says 'I did not collude' with foreign government",Politics,7/24/2017 0:00,real
9583,Donald Trump Jr. adds Washington lawyer to legal team,Politics,7/23/2017 0:00,real
9584,Cuba’s top U.S. negotiator named to new post,Politics,7/23/2017 0:00,real
9585,Spieth emerges from epic duel to win British Open,Politics,7/23/2017 0:00,real
9586,Golf: China's Li shoots 63 to finish third in Open,Politics,7/23/2017 0:00,real
9587,Kuchar 'crushed' by defeat to Spieth at Birkdale,Politics,7/23/2017 0:00,real
9588,Federal Reserve now faces prospect of global monetary policy tightening,Politics,7/23/2017 0:00,real
9589,Factbox: British Open champion Jordan Spieth,Politics,7/23/2017 0:00,real
9590,U.S. Army sergeant indicted in Hawaii on charges of trying to help Islamic State,Politics,7/22/2017 0:00,real
9591,Venezuela congress going ahead despite 'imperial' threat: Maduro,Politics,7/23/2017 0:00,real
9592,Republican strategy on healthcare bill in flux ahead of vote,Politics,7/23/2017 0:00,real
9593,Wayward McIlroy rues missed chances at British Open,Politics,7/23/2017 0:00,real
9594,High flier Connelly keeps feet on ground,Politics,7/23/2017 0:00,real
9595,Champion Stenson bows out to the acclaim of fans,Politics,7/23/2017 0:00,real
9596,Golf: Record-breaker Grace comes back down to earth,Politics,7/23/2017 0:00,real
9597,New Trump communications director promises crackdown on media leaks,Politics,7/23/2017 0:00,real
9598,BMW rejects media reports of emissions manipulations,Politics,7/23/2017 0:00,real
9599,Syrian warplanes strike near Damascus despite ceasefire: Syrian Observatory,Politics,7/23/2017 0:00,real
9600,Supreme Court ruling leads to offensive trademark requests,Politics,7/23/2017 0:00,real
9601,"Germany must act now to stop re-run of refugee crisis, Merkel rival says",Politics,7/23/2017 0:00,real
